,UMAP1,UMAP2,UMAP3,esg_rating,ticker,dividend_yield,dividend_yield_qtl,quality_score,quality_score_qtl,carbon_intensity,carbon_intensity_qtl,aum_qtl,aum,investment_strategy,asset_class,asset_region,subsegment,grade
101,13.756172,4.898024,-0.5332158,A,MGK,0.62,Q1,6.81,Q3,35.4,Q1,Q4,14290000000.0,standard,equity,us,large_cap,A
102,13.922912,5.1976733,0.29640022,A,QQQM,0.75,Q1,6.71,Q3,47.0,Q1,Q4,14110000000.0,standard,equity,us,large_cap,A
103,14.830399,5.185212,1.7339749,A,VTIP,,Q4,5.72,Q1,,Q4,Q4,14000000000.0,standard,fixed_income,us,government,A
104,13.79282,4.994362,-0.43311363,A,COWZ,2.85,Q3,6.54,Q3,233.72,Q3,Q4,13990000000.0,standard,equity,us,large_cap,A
105,8.802145,12.111259,2.1974933,BB,XLC,0.82,Q1,4.14,Q1,9.73,Q1,Q4,13780000000.0,standard,equity,us,not_specified,A
106,12.851718,5.699424,-0.8678204,A,IUSG,1.27,Q1,6.78,Q3,76.16,Q2,Q4,13770000000.0,standard,equity,us,total_market,A
107,9.3173065,-4.1468725,2.1743536,A,IWP,0.74,Q1,6.5,Q3,81.31,Q2,Q4,13380000000.0,standard,equity,us,mid_cap,A
108,13.108236,5.7257676,-0.88629836,AA,ESGU,1.61,Q2,7.35,Q4,75.24,Q2,Q4,13370000000.0,standard,equity,us,total_market,A
109,5.58695,10.946588,11.900728,AA,EWJ,2.43,Q3,7.34,Q4,77.78,Q2,Q4,13320000000.0,standard,equity,asia_pacific_wo_brics,total_market,B
110,13.705719,4.9781394,-0.42632714,A,VONG,0.91,Q1,6.94,Q4,42.71,Q1,Q4,13310000000.0,standard,equity,us,large_cap,A
111,14.547572,5.2291203,1.418476,A,IEI,,Q4,5.72,Q1,,Q4,Q4,13280000000.0,standard,fixed_income,us,government,A
112,9.347421,-4.179221,2.215269,A,IWS,2.21,Q3,6.29,Q2,255.44,Q4,Q4,13210000000.0,standard,equity,us,mid_cap,A
113,16.899345,17.20363,7.4066935,BBB,PFF,3.05,Q3,5.49,Q1,258.39,Q4,Q4,13080000000.0,standard,fixed_income,us,corporate,
114,15.555195,12.257803,0.74044585,AA,EFG,1.71,Q2,7.94,Q4,55.52,Q1,Q4,12950000000.0,standard,equity,dev_markets,total_market,A
115,12.453299,9.930898,-2.491999,A,GDX,2.04,Q3,6.74,Q3,323.89,Q4,Q4,12550000000.0,standard,equity,global,not_specified,B
116,14.822785,5.2179976,1.9150897,A,SCHO,,Q4,5.72,Q1,1.6,Q1,Q4,12460000000.0,standard,fixed_income,us,government,A
117,3.3001525,9.407139,10.869313,AA,FVD,3.02,Q3,7.15,Q4,506.66,Q4,Q4,12300000000.0,standard,equity,us,high_dividend_yield,B
118,14.212904,5.2310987,0.91392404,A,SGOV,,Q4,5.72,Q1,,Q4,Q4,11980000000.0,standard,fixed_income,us,government,
119,13.9758005,4.875982,-0.6532116,A,FNDX,2.34,Q3,6.45,Q3,158.31,Q3,Q4,11940000000.0,standard,equity,us,large_cap,A
120,13.871078,4.5618896,-0.9621318,A,NOBL,2.51,Q3,7.02,Q4,149.98,Q3,Q4,11920000000.0,standard,equity,us,large_cap,A
121,4.05808,4.716662,7.7372737,BBB,IWN,2.35,Q3,5.01,Q1,189.85,Q3,Q4,11920000000.0,standard,equity,us,small_cap,A
122,19.783726,15.496271,2.5220397,A,IGIB,,Q4,6.58,Q3,281.58,Q4,Q4,11810000000.0,standard,fixed_income,us,corporate,A
123,12.860563,5.6787157,-0.8271609,A,IWV,1.56,Q2,6.52,Q3,122.31,Q2,Q4,11780000000.0,standard,equity,us,total_market,A
124,14.811344,5.210266,1.7221063,A,STIP,,Q4,5.72,Q1,,Q4,Q4,11660000000.0,standard,fixed_income,us,government,A
125,13.750153,4.856952,-0.6313683,A,GSLC,1.54,Q2,6.7,Q3,109.03,Q2,Q4,11560000000.0,standard,equity,us,large_cap,A
126,14.833954,5.169192,1.7306273,A,SCHP,,Q4,5.72,Q1,1.6,Q1,Q4,11510000000.0,standard,fixed_income,us,government,A
127,11.982496,8.424021,-1.4792477,A,IYW,0.69,Q1,6.88,Q4,18.71,Q1,Q4,11440000000.0,standard,equity,us,not_specified,A
128,9.331682,-4.156556,2.163166,A,VOT,0.82,Q1,6.3,Q2,94.64,Q2,Q4,11240000000.0,standard,equity,us,mid_cap,A
129,15.567231,12.270344,0.7465954,AA,IDEV,3.02,Q3,7.5,Q4,125.88,Q2,Q4,11220000000.0,standard,equity,dev_markets,total_market,A
130,13.675614,8.742576,16.772032,,SLV,,Q4,,Q4,,Q4,Q4,11120000000.0,standard,commodities,global,not_specified,B
131,3.8232424,5.340056,6.7480464,A,SCZ,3.13,Q4,6.35,Q2,154.6,Q3,Q4,10950000000.0,standard,equity,dev_markets,small_cap,A
132,15.530922,12.301663,0.7686614,AA,FNDF,3.67,Q4,7.33,Q4,180.34,Q3,Q4,10840000000.0,standard,equity,dev_markets,large_cap,A
133,3.2313464,9.521232,10.78504,A,HDV,4.34,Q4,6.75,Q3,370.89,Q4,Q4,10790000000.0,standard,equity,us,high_dividend_yield,A
134,13.442157,5.3098474,-0.34504157,A,MOAT,1.35,Q2,6.68,Q3,47.76,Q1,Q4,10610000000.0,standard,equity,us,total_market,A
